Alliance,Party,Contested,Won,Vote %,Contested Voteshare,Year
NDA,Bharatiya Janta Party,471,161,20.3,23.4,1996
NDA,Shiv Sena,117,15,1.5,7.1,1996
NDA,Samata Party,75,8,2.1,14.8,1996
NDA,Haryana Vikas Party,2,2,0.2,49,1996
NDA,Madhya Pradesh Vikas Congress,1,1,0.1,66.3,1996
UPA,Indian National Congress,529,140,28.8,29.7,1996
UPA,Muslim Leage,2,2,0.2,49,1996
UPA,Kerala Congress(M),1,1,0.1,54.4,1996
UPA,All India Anna Dravida Munnetra Kazhagam,10,0,0.6,29.4,1996
THIRD FRONT,Janata Dal,194,46,8,23.5,1996
THIRD FRONT,Communist Party Of India (MARXIST),75,32,6.1,37.1,1996
THIRD FRONT,Samajwadi Party,93,17,3.1,19.7,1996
THIRD FRONT,Telugu Desam,36,16,3,38.2,1996
THIRD FRONT,Communist Party Of India,42,11,1.8,24.1,1996
THIRD FRONT,Revolutionary Socialist Party,5,5,0.6,49.7,1996
THIRD FRONT,All India Forward Bloc,12,3,0.4,14.1,1996
THIRD FRONT,Kerala Congress,1,0,0.1,44.6,1996
