Alliance,Party,Contested,Won,Vote %,Contested Voteshare,Year
NDA,Bharatiya Janta Party,436,303,37.7,46.6,2019
NDA,Shiv Sena,98,18,2.1,11.6,2019
NDA,Janata Dal (United),25,16,1.5,37.4,2019
NDA,Lok Jan Shakti Party,6,6,0.5,55.2,2019
NDA,Shiromani Akali Dal,10,2,0.6,35.4,2019
NDA,Apna Dal (Soneylal),2,2,0.2,50.4,2019
NDA,All India Anna Dravida Munnetra Kazhagam,21,1,1.3,33.6,2019
NDA,All Jharkhand Students Union,1,1,0.1,59.6,2019
NDA,Nationalist Democratic Progressive Party,1,1,0.1,49.8,2019
NDA,Rashtriya Loktantrik Party,1,1,0.1,55.5,2019
NDA,All India N.R. Congress,1,0,0,31.8,2019
NDA,Bodoland Peoples Front,1,0,0.1,30.5,2019
NDA,Desiya Murpokku Dravida Kazhagam,4,0,0.2,22,2019
NDA,Pattali Makkal Katchi,7,0,0.4,29.3,2019
NDA,Asom Gana Parisad,3,0,0.2,32.7,2019
NDA,Kerala Congress (Anti-merger Group),1,0,0,17.2,2019
NDA,Bharath Dharma Jana Sena,4,0,0.1,9.6,2019
NDA,Tamil Maanila Congress (Moopanar),1,0,0,21.2,2019
UPA,Indian National Congress,421,52,19.7,25.1,2019
UPA,Dravida Munetra Kazhagam,23,23,2.3,55.1,2019
UPA,Nationalist Congress Party,34,5,1.4,23.1,2019
UPA,Indian Union Muslim League,9,3,0.3,15.8,2019
UPA,Communist Party Of India,49,2,0.6,6.6,2019
UPA,Janata Dal (Secular),9,1,0.6,37.7,2019
UPA,Kerala Congress(M),1,1,0.1,46.6,2019
UPA,Revolutionary Socialist Party,6,1,0.1,10,2019
UPA,Jharkhand Mukti Morcha,13,1,0.3,12.9,2019
UPA,Viduthalai Chiruthaigal Katchi,7,1,0.1,6.1,2019
UPA,Rashtriya Lok Samta Party,5,0,0.2,31.4,2019
UPA,Vikassheel Insaan Party ,4,0,0.1,16.8,2019
UPA,Jan Adhikar Party,19,0,0,0.4,2019
UPA,Hindustani Awam Morcha (Secular),3,0,0.2,33.4,2019
UPA,Jharkhand Vikas Morcha (Prajatantrik),2,0,0.1,31.9,2019
UPA,Rashtriya Janata Dal,21,0,1.1,31.3,2019
UPA,Bahujan Vikas Aaghadi,1,0,0.1,41.9,2019
UPA,Swabhimani Paksha,2,0,0.1,34.4,2019
UPA,Communist Party Of India (Marxist-Leninist) (Liberation),22,0,0.1,2.9,2019
