  #    ,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
1,Adilabad,1,ST,Andhra Pradesh,Rathod Ramesh,Telugu Desam,"11,31,211","8,63,248",76.30%,"1,15,087",13.30%,2009
2,Agra,18,SC,Uttar Pradesh [2000 Onwards],Dr. Ramshankar,Bharatiya Janta Party,"15,39,683","6,48,793",42.10%,"9,715",1.50%,2009
3,Ahmadnagar,37,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,"15,17,951","7,87,153",51.90%,"46,731",5.90%,2009
4,Ahmedabad East,7,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"14,11,761","5,97,395",42.30%,"86,056",14.40%,2009
5,Ahmedabad West,8,SC,Gujarat,Dr. Solanki Kiritbhai Premajibhai,Bharatiya Janta Party,"14,31,080","6,90,071",48.20%,"91,127",13.20%,2009
6,Ajmer,13,GEN,Rajasthan,Sachin Pilot,Indian National Congress,"14,55,339","7,71,272",53.00%,"76,135",9.90%,2009
7,Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Rajaram Pal,Indian National Congress,"14,61,050","6,37,264",43.60%,"32,043",5.00%,2009
8,Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"14,80,606","7,40,014",50.00%,"64,848",8.80%,2009
9,Alappuzha,15,GEN,Kerala,K.C Venugopal,Indian National Congress,"11,47,162","9,11,120",79.40%,"57,635",6.30%,2009
10,Alathur,9,SC,Kerala,P.K Biju,Communist Party Of India (MARXIST),"11,00,843","8,30,044",75.40%,"20,960",2.50%,2009
11,Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Raj Kumari Chauhan,Bahujan Samaj Party,"13,45,351","6,94,110",51.60%,"16,557",2.40%,2009
12,Alipurduars,2,ST,West Bengal,Manohar Tirkey,Revolutionary Socialist Party,"12,29,301","9,34,622",76.00%,"1,12,822",12.10%,2009
13,Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,"12,67,492","5,50,220",43.40%,"34,920",6.30%,2009
14,Almora,3,SC,Uttarakhand,Pradeep Tamta,Indian National Congress,"10,57,379","4,81,891",45.60%,"6,950",1.40%,2009
15,Alwar,8,GEN,Rajasthan,Jitendra Singh,Indian National Congress,"13,73,384","7,62,306",55.50%,"1,56,619",20.50%,2009
16,Amalapuram,24,SC,Andhra Pradesh,G.V.Harsha Kumar,Indian National Congress,"12,75,287","10,27,127",80.50%,"40,005",3.90%,2009
17,Ambala,1,SC,Haryana,Selja,Indian National Congress,"12,64,907","8,66,507",68.50%,"14,570",1.70%,2009
18,Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Rakesh Pandey,Bahujan Samaj Party,"14,94,838","8,10,886",54.30%,"22,736",2.80%,2009
19,Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,"14,31,787","6,46,653",45.20%,"3,70,198",57.20%,2009
20,Amravati,7,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,"14,23,855","7,32,573",51.50%,"61,716",8.40%,2009
21,Amreli,14,GEN,Gujarat,Kachhadia Naranbhai,Bharatiya Janta Party,"13,12,733","5,24,642",40.00%,"37,317",7.10%,2009
22,Amritsar,2,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,"12,41,099","8,14,503",65.60%,"6,858",0.80%,2009
23,Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Devendra Nagpal,Rashtriya Lok Dal,"11,73,915","7,06,599",60.20%,"92,083",13.00%,2009
24,Anakapalli,22,GEN,Andhra Pradesh,Sabbam Hari,Indian National Congress,"13,31,695","10,51,708",79.00%,"52,912",5.00%,2009
25,Anand,16,GEN,Gujarat,Solanki Bharatbhai Madhavsinh,Indian National Congress,"13,97,162","6,76,072",48.40%,"67,318",10.00%,2009
26,Anandpur Sahib,6,GEN,Punjab,Ravneet Singh,Indian National Congress,"13,38,596","9,04,606",67.60%,"67,204",7.40%,2009
27,Anantapur,36,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,"14,11,460","10,02,775",71.10%,"77,921",7.80%,2009
28,Anantnag,3,GEN,Jammu & Kashmir,Mirza Mehboob Beg,Jammu & Kashmir National Conference,"11,76,223","3,18,726",27.10%,"5,224",1.60%,2009
29,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Shri. Bishnu Pada Ray,Bharatiya Janta Party,"2,65,108","1,70,107",64.20%,"2,990",1.80%,2009
30,Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Menka Gandhi,Bharatiya Janta Party,"13,10,878","7,04,611",53.80%,"7,681",1.10%,2009
31,Arakkonam,7,GEN,Tamil Nadu,Jagathrakshakan,Dravida Munetra Kazhagam,"10,98,607","8,54,683",77.80%,"1,09,796",12.80%,2009
32,Arambagh,29,SC,West Bengal,Malik Sakti Mohan,Communist Party Of India (MARXIST),"13,75,377","11,63,581",84.60%,"2,01,558",17.30%,2009
33,Arani,12,GEN,Tamil Nadu,Krishnasswamy M,Indian National Congress,"10,97,865","8,43,076",76.80%,"1,06,830",12.70%,2009
34,Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,"13,11,225","7,30,459",55.70%,"22,502",3.10%,2009
35,Arrah,32,GEN,Bihar [2000 Onwards],Meena Singh,Janata Dal (United),"15,55,122","5,56,364",35.80%,"74,720",13.40%,2009
36,Aruku,18,ST,Andhra Pradesh,Kishore Chandra Suryanarayana Deo Vyricherla,Indian National Congress,"11,82,514","7,96,043",67.30%,"1,92,444",24.20%,2009
37,Arunachal East,2,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,"3,01,173","2,14,930",71.40%,"68,449",31.80%,2009
38,Arunachal West,1,GEN,Arunachal Pradesh,Takam Sanjoy,Indian National Congress,"4,33,368","2,85,666",65.90%,"1,314",0.50%,2009
39,Asansol,40,GEN,West Bengal,Bansa Gopal Chowdhury,Communist Party Of India (MARXIST),"12,50,052","8,93,860",71.50%,"72,956",8.20%,2009
40,Aska,19,GEN,Orissa,Nityananda Pradhan,Biju Janata Dal,"12,86,194","7,01,795",54.60%,"2,32,834",33.20%,2009
41,Attingal,19,GEN,Kerala,Adv. A Sampath,Communist Party Of India (MARXIST),"10,91,432","7,25,168",66.40%,"18,341",2.50%,2009
42,Aurangabad,19,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,"14,17,964","5,98,332",42.20%,"33,014",5.50%,2009
43,Aurangabad,37,GEN,Bihar [2000 Onwards],Sushil Kumar Singh,Janata Dal (United),"13,76,323","5,98,332",43.50%,"72,058",12.00%,2009
44,Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,"6,93,407","4,80,748",69.30%,"74,548",15.50%,2009
45,Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bharatiya Janta Party,"15,78,854","7,05,508",44.70%,"49,039",7.00%,2009
46,Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,"14,05,695","7,37,438",52.50%,"32,542",4.40%,2009
47,Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,"13,63,359","8,59,976",63.10%,"35,446",4.10%,2009
48,Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,"12,80,602","6,13,758",47.90%,"63,027",10.30%,2009
49,Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,"11,79,938","9,53,789",80.80%,"1,86,977",19.60%,2009
50,Bahraich,56,SC,Uttar Pradesh [2000 Onwards],Kamal Kishor,Indian National Congress,"12,46,823","5,12,702",41.10%,"38,953",7.60%,2009
51,Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],K. D. Deshmukh,Bharatiya Janta Party,"13,39,239","7,56,832",56.50%,"40,819",5.40%,2009
52,Balasore,6,GEN,Orissa,Srikant Kumar Jena,Indian National Congress,"12,69,342","8,92,345",70.30%,"38,900",4.40%,2009
53,Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Neeraj Shekhar,Samajwadi Party,"16,79,029","6,77,426",40.40%,"72,555",10.70%,2009
54,Balurghat,6,GEN,West Bengal,Prasanta Kumar Majumdar,Revolutionary Socialist Party,"10,10,224","8,76,355",86.80%,"5,105",0.60%,2009
55,Banaskantha,2,GEN,Gujarat,Gadhvi Mukeshkumar Bheiravdanji,Indian National Congress,"12,96,871","6,46,305",49.80%,"10,301",1.60%,2009
56,Banda,48,GEN,Uttar Pradesh [2000 Onwards],R. K. Singh Patel,Samajwadi Party,"13,86,265","6,19,203",44.70%,"34,593",5.60%,2009
57,Bangalore Central,25,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,"19,01,346","8,47,135",44.60%,"35,218",4.20%,2009
58,Bangalore North,24,GEN,Karnataka,D. B. Chandre Gowda,Bharatiya Janta Party,"21,44,091","10,01,678",46.70%,"59,665",6.00%,2009
59,Bangalore Rural,23,GEN,Karnataka,H D Kumaraswamy,Janata Dal (Secular),"19,04,135","11,03,049",57.90%,"1,30,275",11.80%,2009
60,Bangalore South,26,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,"20,31,030","9,08,751",44.70%,"37,612",4.10%,2009
61,Bangaon,14,SC,West Bengal,Gobinda Chandra Naskar,All India Trinamool Congress,"12,46,979","10,78,719",86.50%,"92,826",8.60%,2009
62,Banka,27,GEN,Bihar [2000 Onwards],Digvijay Singh,Independent,"13,38,025","6,52,097",48.70%,"28,716",4.40%,2009
63,Bankura,36,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),"12,68,563","9,85,847",77.70%,"1,07,802",10.90%,2009
64,Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,"16,63,648","6,49,218",39.00%,"52,787",8.10%,2009
65,Banswara,20,ST,Rajasthan,Tarachand Bhagora,Indian National Congress,"14,57,980","7,69,532",52.80%,"1,99,418",25.90%,2009
66,Bapatla,32,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,"13,21,607","10,46,640",79.20%,"69,338",6.60%,2009
67,Barabanki,53,SC,Uttar Pradesh [2000 Onwards],P.L.Punia,Indian National Congress,"14,22,218","7,43,415",52.30%,"1,67,913",22.60%,2009
68,Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,"15,93,460","7,34,048",46.10%,"3,36,831",45.90%,2009
69,Baramulla,1,GEN,Jammu & Kashmir,Sharief Ud Din Shariq,Jammu & Kashmir National Conference,"10,54,496","4,41,234",41.80%,"64,814",14.70%,2009
