Year,Party,Vote_perc
2019,BJP,37.7
2019,INC,19.7
2019,AITC,4.1
2019,BSP,3.7
2019,YSRCP,2.6
2019,Others,32.2
2014,BJP,31.3
2014,INC,19.5
2014,BSP,4.2
2014,AITC,3.9
2014,SP,3.4
2014,Others,37.7
2009,INC,28.6
2009,BJP,18.8
2009,BSP,6.2
2009,CPM,5.3
2009,SP,3.4
2009,Others,37.7
2004,INC,26.5
2004,BJP,22.2
2004,CPM,5.7
2004,BSP,5.3
2004,SP,4.3
2004,Others,36
1999,INC,28.3
1999,BJP,23.8
1999,CPM,5.4
1999,BSP,4.2
1999,SP,3.8
1999,Others,34.5
1996,INC,28.8
1996,BJP,20.3
1996,JD,8.1
1996,CPM,6.1
1996,BSP,4
1996,Others,32.7
